,Shapiro_val,Shapiro_p,Skewness,Kurtosis,AIC,BIC,SMSE,MSLL,marker
inferiortemporal_rh_beta_knee_periodic,0.9980033330515384,0.248206157775181,-0.0278442007186097,0.1102975853910415,[2779.94656059],[2978.17022414],0.9567215536504724,-0.0555659752417494,inferiortemporal_rh_beta_knee_periodic
insula_lh_beta_knee_periodic,0.9967965886489272,0.0327403268379664,-0.0239642031518831,0.253236301636476,[2762.43846936],[2960.47112112],0.9542703967762758,-0.0306353019959809,insula_lh_beta_knee_periodic
insula_rh_beta_knee_periodic,0.996309345986212,0.0137469805155183,-0.0168533152278172,0.2384047458407434,[2771.56808078],[2969.79174617],0.9753559973170706,0.0200801142334953,insula_rh_beta_knee_periodic
isthmuscingulate_lh_beta_knee_periodic,0.9982239741598457,0.350027699153274,-0.0317865157247253,0.0174671028668846,[2715.12472078],[2913.27213853],0.9467246244944744,-0.0242479979174099,isthmuscingulate_lh_beta_knee_periodic
isthmuscingulate_rh_beta_knee_periodic,0.998819381646732,0.7356530265923278,-0.0013136983762848,-0.1026590236028757,[2680.9744541],[2879.08355609],0.943556403304398,-0.0490191275089983,isthmuscingulate_rh_beta_knee_periodic
lateraloccipital_lh_beta_knee_periodic,0.9952920955906824,0.0025962182829854,-0.1170444884476509,0.1852895855809646,[2780.63695382],[2978.63114228],0.975540686592734,0.039047295551993,lateraloccipital_lh_beta_knee_periodic
lateraloccipital_rh_beta_knee_periodic,0.9980039762112868,0.2526338967163788,-0.0460769088235625,-0.0315340305230522,[2723.41662778],[2921.41087303],0.9726243195291951,0.0136426732459119,lateraloccipital_rh_beta_knee_periodic
lateralorbitofrontal_lh_beta_knee_periodic,0.9965779143889456,0.0218495388383941,-0.0277582230442808,0.2781547799725747,[2822.44267134],[3020.66635262],0.971733708084431,0.0232939522309546,lateralorbitofrontal_lh_beta_knee_periodic
lateralorbitofrontal_rh_beta_knee_periodic,0.997826935850976,0.1890420674597293,0.0172459374576843,0.1578644893378684,[2813.79222868],[3011.86310007],0.9674815307838106,-0.0279695916302557,lateralorbitofrontal_rh_beta_knee_periodic
lingual_lh_beta_knee_periodic,0.9972755760125954,0.0736621040831361,-0.0518841754073233,0.0990401326766492,[2725.51733376],[2923.7028984],0.972061598705668,0.003261927236202,lingual_lh_beta_knee_periodic
lingual_rh_beta_knee_periodic,0.9969970336756488,0.04653363575204,-0.0835438333116398,0.1309595242221037,[2731.2028449],[2929.19717473],0.9773231076567698,0.0560305711266412,lingual_rh_beta_knee_periodic
medialorbitofrontal_lh_beta_knee_periodic,0.9978455946005992,0.1936767004518793,-0.0451020596118944,0.1243540407253154,[2806.33796979],[3004.48526018],0.95692102170559,-0.049964320668872,medialorbitofrontal_lh_beta_knee_periodic
medialorbitofrontal_rh_beta_knee_periodic,0.9988444882481384,0.7528005359571617,0.0089579628234858,0.1603670660763443,[2793.06731074],[2991.17641375],0.9630626362775347,-0.0246144656457986,medialorbitofrontal_rh_beta_knee_periodic
middletemporal_lh_beta_knee_periodic,0.997305109930088,0.0784815233899371,-0.0450504498801033,0.2412582416930364,[2723.1098282],[2921.18070035],0.9509217626605894,-0.0416751213817524,middletemporal_lh_beta_knee_periodic
middletemporal_rh_beta_knee_periodic,0.9978911532299274,0.2073144009958976,-0.0428808077257712,-0.018133677469156,[2743.68517831],[2941.90886482],0.9559907227844556,-0.0546830733661071,middletemporal_rh_beta_knee_periodic
paracentral_lh_beta_knee_periodic,0.9991606934184938,0.9326149173550844,0.0259573218899781,-0.0129864329157562,[2479.7620705],[2677.52554968],0.8807499368776049,-0.1229908918005099,paracentral_lh_beta_knee_periodic
paracentral_rh_beta_knee_periodic,0.9991272988977292,0.9200143337533644,0.0210200568810125,-0.0736338537701617,[2472.31810071],[2669.96568344],0.8805024749003876,-0.16398706689358,paracentral_rh_beta_knee_periodic
parahippocampal_lh_beta_knee_periodic,0.9972691435584524,0.0728486051354983,-0.0504450463879865,0.1282701807757957,[2799.4894694],[2997.67500798],0.9772864189557128,-0.0196295059011235,parahippocampal_lh_beta_knee_periodic
parahippocampal_rh_beta_knee_periodic,0.9971782681668454,0.0619832298811598,-0.0523926039234309,0.1687488967537591,[2769.72870766],[2967.95240781],0.9662103577891136,-0.0387317398719047,parahippocampal_rh_beta_knee_periodic
parsopercularis_lh_beta_knee_periodic,0.996259770772495,0.0127727204792521,-0.0217282256722835,0.3894461441346344,[2729.64200861],[2927.78927746],0.95028160740895,-0.0502047210716103,parsopercularis_lh_beta_knee_periodic
parsopercularis_rh_beta_knee_periodic,0.998325955342686,0.405735988030197,0.0405952903070029,0.1063435202765687,[2792.92688002],[2991.07408396],0.9758542961836278,0.0153505126475672,parsopercularis_rh_beta_knee_periodic
parsorbitalis_lh_beta_knee_periodic,0.997132688893705,0.0572718735158092,0.0276949933024981,0.1728331918170131,[2760.02546433],[2958.2491827],0.9425044702056784,-0.0716520084684509,parsorbitalis_lh_beta_knee_periodic
parsorbitalis_rh_beta_knee_periodic,0.9986248800999922,0.5976815847690045,0.0441711551594895,0.07710991668434,[2737.94319041],[2936.12884443],0.9490355929595404,-0.0769511060593444,parsorbitalis_rh_beta_knee_periodic
parstriangularis_lh_beta_knee_periodic,0.9967169135460398,0.0278050839393509,0.0144411147709069,0.2619912919062157,[2762.79532254],[2961.01909729],0.9389327294844334,-0.0844980612750221,parstriangularis_lh_beta_knee_periodic
parstriangularis_rh_beta_knee_periodic,0.9967212224038616,0.0280138870490563,-0.0222269458577549,0.2350001468738707,[2726.53678168],[2924.760505],0.9294067654970912,-0.0539820649330689,parstriangularis_rh_beta_knee_periodic
pericalcarine_lh_beta_knee_periodic,0.9972120555112742,0.0680230423030483,-0.0650345294695056,0.0685754852839206,[2709.61865597],[2907.53611855],0.9479595961196406,0.0136047692833923,pericalcarine_lh_beta_knee_periodic
pericalcarine_rh_beta_knee_periodic,0.9940740620589956,0.0003786683483703,-0.1072961392078427,0.1161698936613624,[2712.66219464],[2910.69477897],0.9599326811757376,0.0270989100539831,pericalcarine_rh_beta_knee_periodic
postcentral_lh_beta_knee_periodic,0.9973100961699112,0.0818156888946944,-0.04520259809929,0.22749860753783,[2705.24263856],[2903.00610279],0.9564737082996598,-0.0348881100997758,postcentral_lh_beta_knee_periodic
postcentral_rh_beta_knee_periodic,0.9981653387411046,0.3230112432845602,-0.023188862739855,0.0132645852341055,[2690.91065602],[2888.94323078],0.9572969238067296,-0.052027911754872,postcentral_rh_beta_knee_periodic
posteriorcingulate_lh_beta_knee_periodic,0.9983258979970684,0.412465934079747,0.0206056363871833,0.0984405685666733,[2643.42929223],[2841.26989875],0.9440550810322468,-0.0440654678249358,posteriorcingulate_lh_beta_knee_periodic
posteriorcingulate_rh_beta_knee_periodic,0.9975226039194012,0.1181268462488947,-0.0134909642679238,0.1098305758022992,[2595.60392755],[2793.2901439],0.926256582848921,-0.0785146021195994,posteriorcingulate_rh_beta_knee_periodic
precentral_lh_beta_knee_periodic,0.9970352314794798,0.0513382755801965,-0.0446165846928109,0.0727386794656643,[2700.32080964],[2898.04573853],0.9540884973696456,-0.0204999116536935,precentral_lh_beta_knee_periodic
precentral_rh_beta_knee_periodic,0.998846220536052,0.7559902952478346,0.0101170320161328,-0.095921219323531,[2584.21961925],[2782.21394445],0.9272868953999748,-0.0742170666624999,precentral_rh_beta_knee_periodic
precuneus_lh_beta_knee_periodic,0.9986886738688966,0.6505228047842041,-0.0363242679621747,0.0380976850899648,[2520.85752777],[2718.65951959],0.8769171104315185,-0.1066895569936639,precuneus_lh_beta_knee_periodic
precuneus_rh_beta_knee_periodic,0.9980846461424812,0.2864161438233393,-0.0227656272316802,0.1032924749700394,[2482.66640751],[2680.66067476],0.8698358655808713,-0.1483404915112146,precuneus_rh_beta_knee_periodic
