marker,mean,std,source
frontalpole_rh_all_connectivity,0.345916978,0.0064696561,regression exacte (residu < 1e-14)
frontalpole_rh_all_entropy,0.7934459365,0.0096903232,regression exacte (residu < 1e-14)
frontalpole_rh_all_periodic,0.0787737015,0.0336409732,regression exacte (residu < 1e-14)
frontalpole_rh_alpha_connectivity,0.3542993797,0.0140778407,regression exacte (residu < 1e-14)
frontalpole_rh_alpha_entropy,0.5736052116,0.0019743562,regression exacte (residu < 1e-14)
frontalpole_rh_alpha_periodic,-0.0018961631,0.1231487997,regression exacte (residu < 1e-14)
frontalpole_rh_beta_connectivity,0.3462465373,0.0060841839,regression exacte (residu < 1e-14)
frontalpole_rh_beta_entropy,0.7232506035,0.0054059898,regression exacte (residu < 1e-14)
frontalpole_rh_beta_periodic,0.0513989682,0.050986598,regression exacte (residu < 1e-14)
frontalpole_rh_delta_connectivity,0.3317388109,0.0230152843,regression exacte (residu < 1e-14)
frontalpole_rh_delta_entropy,0.4587427151,0.0010645249,regression exacte (residu < 1e-14)
frontalpole_rh_delta_periodic,0.2577684705,0.1581724778,regression exacte (residu < 1e-14)
frontalpole_rh_exponent,0.7649056351,0.3254765151,regression exacte (residu < 1e-14)
frontalpole_rh_gamma_connectivity,0.3478700814,0.0080215681,regression exacte (residu < 1e-14)
frontalpole_rh_gamma_entropy,0.8475547187,0.0017604639,regression exacte (residu < 1e-14)
frontalpole_rh_gamma_periodic,0.1084916766,0.0595246059,regression exacte (residu < 1e-14)
frontalpole_rh_theta_connectivity,0.3316913283,0.0122730357,regression exacte (residu < 1e-14)
frontalpole_rh_theta_entropy,0.5152803064,0.0018400072,regression exacte (residu < 1e-14)
frontalpole_rh_theta_periodic,0.0646589405,0.1143277598,regression exacte (residu < 1e-14)
fusiform_lh_all_connectivity,0.3489784247,0.0081516912,regression exacte (residu < 1e-14)
fusiform_lh_all_entropy,0.7914506557,0.0107780708,regression exacte (residu < 1e-14)
fusiform_lh_all_periodic,0.066659971,0.0280328626,regression exacte (residu < 1e-14)
fusiform_lh_alpha_connectivity,0.358327112,0.0153037407,regression exacte (residu < 1e-14)
fusiform_lh_alpha_entropy,0.5737078998,0.002296347,regression exacte (residu < 1e-14)
fusiform_lh_alpha_periodic,0.0657558127,0.1284887596,regression exacte (residu < 1e-14)
fusiform_lh_beta_connectivity,0.3502643998,0.0092093766,regression exacte (residu < 1e-14)
fusiform_lh_beta_entropy,0.7203241376,0.0049414569,regression exacte (residu < 1e-14)
fusiform_lh_beta_periodic,0.037353372,0.0451927708,regression exacte (residu < 1e-14)
fusiform_lh_delta_connectivity,0.3304756846,0.0227619694,regression exacte (residu < 1e-14)
fusiform_lh_delta_entropy,0.4591356002,0.0011618799,regression exacte (residu < 1e-14)
fusiform_lh_delta_periodic,0.1900310336,0.1450842191,regression exacte (residu < 1e-14)
fusiform_lh_exponent,0.8719670339,0.27620603,regression exacte (residu < 1e-14)
fusiform_lh_gamma_connectivity,0.3503149912,0.0095135302,regression exacte (residu < 1e-14)
fusiform_lh_gamma_entropy,0.8477912435,0.0015748344,regression exacte (residu < 1e-14)
fusiform_lh_gamma_periodic,0.0838111046,0.0598317469,regression exacte (residu < 1e-14)
fusiform_lh_theta_connectivity,0.331757065,0.0109997447,regression exacte (residu < 1e-14)
fusiform_lh_theta_entropy,0.5156059996,0.0021062463,regression exacte (residu < 1e-14)
fusiform_lh_theta_periodic,0.0568719131,0.0991076968,regression exacte (residu < 1e-14)
fusiform_rh_all_connectivity,0.348477936,0.0080030501,regression exacte (residu < 1e-14)
fusiform_rh_all_entropy,0.7912798973,0.0114591621,regression exacte (residu < 1e-14)
fusiform_rh_all_periodic,0.066422821,0.0283922789,regression exacte (residu < 1e-14)
fusiform_rh_alpha_connectivity,0.3587196048,0.0165781591,regression exacte (residu < 1e-14)
fusiform_rh_alpha_entropy,0.5737883674,0.0023099856,regression exacte (residu < 1e-14)
fusiform_rh_alpha_periodic,0.0728657509,0.1377611785,regression exacte (residu < 1e-14)
fusiform_rh_beta_connectivity,0.3493661151,0.0084119425,regression exacte (residu < 1e-14)
fusiform_rh_beta_entropy,0.7201048386,0.0052306688,regression exacte (residu < 1e-14)
fusiform_rh_beta_periodic,0.031407052,0.0407909969,regression exacte (residu < 1e-14)
fusiform_rh_delta_connectivity,0.3311735954,0.0227538753,regression exacte (residu < 1e-14)
fusiform_rh_delta_entropy,0.4589945271,0.0011121964,regression exacte (residu < 1e-14)
fusiform_rh_delta_periodic,0.1774130034,0.1320389204,regression exacte (residu < 1e-14)
fusiform_rh_exponent,0.8659646057,0.2800116089,regression exacte (residu < 1e-14)
fusiform_rh_gamma_connectivity,0.3496484869,0.0092059403,regression exacte (residu < 1e-14)
fusiform_rh_gamma_entropy,0.8478808627,0.0015046157,regression exacte (residu < 1e-14)
fusiform_rh_gamma_periodic,0.0887809031,0.0597928528,regression exacte (residu < 1e-14)
fusiform_rh_theta_connectivity,0.3314317666,0.0116813246,regression exacte (residu < 1e-14)
fusiform_rh_theta_entropy,0.5156871494,0.0021629157,regression exacte (residu < 1e-14)
fusiform_rh_theta_periodic,0.0487807655,0.1006253773,regression exacte (residu < 1e-14)
inferiorparietal_lh_all_connectivity,0.3460662781,0.0068797384,regression exacte (residu < 1e-14)
inferiorparietal_lh_all_entropy,0.7877544447,0.0130297115,regression exacte (residu < 1e-14)
inferiorparietal_lh_all_periodic,0.0626999572,0.0266260162,regression exacte (residu < 1e-14)
inferiorparietal_lh_alpha_connectivity,0.3561082029,0.0158219497,regression exacte (residu < 1e-14)
inferiorparietal_lh_alpha_entropy,0.5737532299,0.0023697624,regression exacte (residu < 1e-14)
inferiorparietal_lh_alpha_periodic,0.0801581649,0.1295420373,regression exacte (residu < 1e-14)
inferiorparietal_lh_beta_connectivity,0.3462920613,0.0065237603,regression exacte (residu < 1e-14)
inferiorparietal_lh_beta_entropy,0.7186315184,0.005377066,regression exacte (residu < 1e-14)
inferiorparietal_lh_beta_periodic,0.0320395403,0.0398889773,regression exacte (residu < 1e-14)
inferiorparietal_lh_delta_connectivity,0.3314688426,0.0222874926,regression exacte (residu < 1e-14)
inferiorparietal_lh_delta_entropy,0.4590795478,0.0010761537,regression exacte (residu < 1e-14)
inferiorparietal_lh_delta_periodic,0.1487022527,0.1210091545,regression exacte (residu < 1e-14)
inferiorparietal_lh_exponent,0.9236195984,0.2989403297,regression exacte (residu < 1e-14)
inferiorparietal_lh_gamma_connectivity,0.3482443737,0.008943162,regression exacte (residu < 1e-14)
inferiorparietal_lh_gamma_entropy,0.8476041089,0.0017128151,regression exacte (residu < 1e-14)
inferiorparietal_lh_gamma_periodic,0.0810016567,0.0539261677,regression exacte (residu < 1e-14)
inferiorparietal_lh_theta_connectivity,0.3296653097,0.0114951666,regression exacte (residu < 1e-14)
inferiorparietal_lh_theta_entropy,0.5155960713,0.0019786707,regression exacte (residu < 1e-14)
inferiorparietal_lh_theta_periodic,0.0506969584,0.0969860103,regression exacte (residu < 1e-14)
inferiorparietal_rh_all_connectivity,0.345670312,0.0066560963,regression exacte (residu < 1e-14)
